1416 NA10835 NA12248 NA12249 1 0
1416 NA12248 0 0 1 0
1416 NA12249 0 0 2 0
1420 NA10838 NA12003 NA12004 1 0
1420 NA12005 0 0 1 0
1420 NA12006 0 0 2 0
1420 NA10839 NA12005 NA12006 2 0
1420 NA12003 0 0 1 0
1420 NA12004 0 0 2 0
1444 NA12750 0 0 1 0
1444 NA12751 0 0 2 0
1444 NA12740 NA12750 NA12751 2 0
1447 NA12752 NA12760 NA12761 1 0
1447 NA12762 0 0 1 0
1447 NA12763 0 0 2 0
1447 NA12753 NA12762 NA12763 2 0
1447 NA12760 0 0 1 0
1447 NA12761 0 0 2 0
1454 NA12801 NA12812 NA12813 1 0
1454 NA12814 0 0 1 0
1454 NA12815 0 0 2 0
1454 NA12802 NA12814 NA12815 2 0
1454 NA12812 0 0 1 0
1454 NA12813 0 0 2 0
1459 NA12864 NA12872 NA12873 1 0
1459 NA12874 0 0 1 0
1459 NA12875 0 0 2 0
1459 NA12865 NA12874 NA12875 2 0
1459 NA12872 0 0 1 0
1459 NA12873 0 0 2 0
1463 NA12891 0 0 1 0
1463 NA12892 0 0 2 0
1463 NA12878 NA12891 NA12892 2 0
1328 NA12329 NA06984 NA06989 2 0
1328 NA06984 0 0 1 0
1328 NA06989 0 0 2 0
1330 NA12335 NA12340 NA12341 1 0
1330 NA12342 0 0 1 0
1330 NA12343 0 0 2 0
1330 NA12336 NA12342 NA12343 2 0
1330 NA12340 0 0 1 0
1330 NA12341 0 0 2 0
1344 NA12058 0 0 2 0
1344 NA10850 0 NA12058 2 0
1345 NA07349 NA07347 NA07346 1 0
1345 NA07347 0 0 1 0
1345 NA07346 0 0 2 0
1346 NA12045 0 0 1 0
1346 NA10852 NA12045 0 2 0
1349 NA10853 NA11843 0 1 0
1349 NA11843 0 0 1 0
1353 NA12375 0 NA12383 1 0
1353 NA12546 0 0 1 0
1353 NA12489 0 0 2 0
1353 NA12376 NA12546 NA12489 2 0
1353 NA12383 0 0 2 0
1354 NA12399 0 0 1 0
1354 NA12400 0 0 2 0
1354 NA12386 NA12399 NA12400 2 0
1355 NA12485 NA12413 NA12414 1 0
1355 NA12413 0 0 1 0
1355 NA12414 0 0 2 0
1358 NA12718 0 0 2 0
1358 NA12708 0 NA12718 2 0
1377 NA10865 NA11891 NA11892 1 0
1377 NA11893 0 0 1 0
1377 NA11894 0 0 2 0
1377 NA10864 NA11893 NA11894 2 0
1377 NA11891 0 0 1 0
1377 NA11892 0 0 2 0
1418 NA10837 NA12272 NA12273 1 0
1418 NA12274 0 0 1 0
1418 NA12275 0 0 2 0
1418 NA10836 NA12274 NA12275 2 0
1418 NA12272 0 0 1 0
1418 NA12273 0 0 2 0
1421 NA12286 0 0 1 0
1421 NA12287 0 0 2 0
1421 NA10840 NA12286 NA12287 2 0
1421 NA12282 0 0 1 0
1421 NA12283 0 0 2 0
1423 NA10842 NA11917 NA11918 1 0
1423 NA11919 0 0 1 0
1423 NA11920 0 0 2 0
1423 NA10843 NA11919 NA11920 2 0
1423 NA11917 0 0 1 0
1423 NA11918 0 0 2 0
1424 NA10845 NA11930 NA11931 1 0
1424 NA11930 0 0 1 0
1424 NA11931 0 0 2 0
1444 NA12739 NA12748 NA12749 1 0
1444 NA12748 0 0 1 0
1444 NA12749 0 0 2 0
1451 NA12766 NA12775 NA12776 1 0
1451 NA12777 0 0 1 0
1451 NA12778 0 0 2 0
1451 NA12767 NA12777 NA12778 2 0
1451 NA12775 0 0 1 0
1451 NA12776 0 0 2 0
1456 NA12817 NA12827 NA12828 1 0
1456 NA12829 0 0 1 0
1456 NA12830 0 0 2 0
1456 NA12818 NA12829 NA12830 2 0
1456 NA12827 0 0 1 0
1456 NA12828 0 0 2 0
1458 NA12842 0 0 1 0
1458 NA12843 0 0 2 0
1458 NA12832 NA12842 NA12843 2 0
1463 NA12877 NA12889 NA12890 1 0
1463 NA12889 0 0 1 0
1463 NA12890 0 0 2 0
13281 NA12344 NA12347 NA12348 1 0
13281 NA12347 0 0 1 0
13281 NA12348 0 0 2 0
13291 NA06995 NA07435 NA07037 1 0
13291 NA06986 0 0 1 0
13291 NA07045 0 0 2 0
13291 NA06997 NA06986 NA07045 2 0
13291 NA07435 0 0 1 0
13291 NA07037 0 0 2 0
13292 NA07051 0 0 1 0
13292 NA07031 0 0 2 0
13292 NA07014 NA07051 NA07031 2 0
NA17962 NA17962 0 0 2 0
NA17965 NA17965 0 0 1 0
NA17966 NA17966 0 0 2 0
NA17967 NA17967 0 0 1 0
NA17968 NA17968 0 0 2 0
NA17969 NA17969 0 0 1 0
NA17970 NA17970 0 0 2 0
NA17971 NA17971 0 0 2 0
NA17972 NA17972 0 0 1 0
NA17973 NA17973 0 0 1 0
NA17974 NA17974 0 0 1 0
NA17975 NA17975 0 0 1 0
NA17976 NA17976 0 0 1 0
NA17977 NA17977 0 0 2 0
NA17979 NA17979 0 0 1 0
NA17980 NA17980 0 0 1 0
NA17981 NA17981 0 0 2 0
NA17982 NA17982 0 0 2 0
NA17983 NA17983 0 0 1 0
NA17986 NA17986 0 0 1 0
NA17987 NA17987 0 0 2 0
NA17988 NA17988 0 0 2 0
NA17989 NA17989 0 0 1 0
NA17990 NA17990 0 0 2 0
NA17992 NA17992 0 0 1 0
NA17993 NA17993 0 0 2 0
NA17995 NA17995 0 0 2 0
NA17996 NA17996 0 0 2 0
NA17997 NA17997 0 0 1 0
NA17998 NA17998 0 0 2 0
NA17999 NA17999 0 0 1 0
NA18101 NA18101 0 0 2 0
NA18102 NA18102 0 0 1 0
NA18103 NA18103 0 0 1 0
NA18105 NA18105 0 0 2 0
NA18106 NA18106 0 0 1 0
NA18107 NA18107 0 0 2 0
NA18108 NA18108 0 0 2 0
NA18109 NA18109 0 0 2 0
NA18112 NA18112 0 0 2 0
NA18114 NA18114 0 0 1 0
NA18117 NA18117 0 0 1 0
NA18118 NA18118 0 0 2 0
NA18120 NA18120 0 0 1 0
NA18122 NA18122 0 0 1 0
NA18124 NA18124 0 0 1 0
NA18125 NA18125 0 0 1 0
NA18127 NA18127 0 0 1 0
